County Name	County Pop	City Name	City Pop	No. Zip Codes
Anderson County	41169	Cayuga	199	1
Anderson County	41169	Elkhart	4460	1
Anderson County	41169	Frankston	4830	1
Anderson County	41169	Montalba	850	1
Anderson County	41169	Neches	484	1
Anderson County	41169	Palestine	28771	4
Anderson County	41169	Tennessee Colony	1575	4
Andrews County	17350	Andrews	17350	1
Angelina County	77359	Diboll	7120	1
Angelina County	77359	Huntington	6910	1
Angelina County	77359	Lufkin	58269	5
Angelina County	77359	Pollok	3120	1
Angelina County	77359	Zavalla	1940	1
Aransas County	19724	Fulton	2354	1
Aransas County	19724	Rockport	17370	2
Archer County	5745	Archer City	1720	1
Archer County	5745	Holliday	1960	1
Archer County	5745	Megargel	295	1
Archer County	5745	Scotland	450	1
Archer County	5745	Windthorst	1320	1
Armstrong County	1677	Claude	1610	1
Armstrong County	1677	Wayside	67	1
Atascosa County	44002	Campbellton	260	1
Atascosa County	44002	Charlotte	1900	1
Atascosa County	44002	Christine	450	1
Atascosa County	44002	Jourdanton	5550	1
Atascosa County	44002	Leming	1172	1
Atascosa County	44002	Lytle	6990	1
Atascosa County	44002	Peggy	0	1
Atascosa County	44002	Pleasanton	13470	1
Atascosa County	44002	Poteet	9580	1
Atascosa County	44002	Somerset	4630	1
Austin County	28262	Bellville	8810	1
Austin County	28262	Bleiblerville	240	1
Austin County	28262	Industry	620	1
Austin County	28262	Kenney	222	1
Austin County	28262	New Ulm	1780	1
Austin County	28262	San Felipe	490	1
Austin County	28262	Sealy	13140	1
Austin County	28262	Wallis	2960	1
Bailey County	7714	Enochs	54	1
Bailey County	7714	Maple	30	1
Bailey County	7714	Muleshoe	7630	1
Bandera County	17189	Bandera	7770	1
Bandera County	17189	Medina	1310	1
Bandera County	17189	Pipe Creek	7730	1
Bandera County	17189	Tarpley	230	1
Bandera County	17189	Vanderpool	149	1
Bastrop County	72260	Bastrop	23720	1
Bastrop County	72260	Cedar Creek	12470	1
Bastrop County	72260	Elgin	21410	1
Bastrop County	72260	Mc Dade	1370	1
Bastrop County	72260	Paige	2510	1
Bastrop County	72260	Red Rock	2110	1
Bastrop County	72260	Rosanky	1010	1
Bastrop County	72260	Smithville	7660	1
Baylor County	2940	Seymour	2940	1
Bee County	22551	Beeville	18951	2
Bee County	22551	Mineral	145	1
Bee County	22551	Normanna	230	1
Bee County	22551	Pawnee	227	1
Bee County	22551	Pettus	675	1
Bee County	22551	Skidmore	1670	1
Bee County	22551	Tuleta	373	1
Bee County	22551	Tynan	280	1
Bell County	311705	Belton	33020	1
Bell County	311705	Burlington	490	1
Bell County	311705	Fort Hood	23160	1
Bell County	311705	Harker Heights	27060	1
Bell County	311705	Heidenheimer	217	1
Bell County	311705	Holland	2440	1
Bell County	311705	Killeen	133741	7
Bell County	311705	Little River Academy	2100	1
Bell County	311705	Nolanville	4880	1
Bell County	311705	Pendleton	202	1
Bell County	311705	Rogers	2510	1
Bell County	311705	Salado	7270	1
Bell County	311705	Temple	70005	6
Bell County	311705	Troy	4610	1
Bexar County	1658879	Adkins	7890	1
Bexar County	1658879	Atascosa	6860	1
Bexar County	1658879	Boerne	13970	1
Bexar County	1658879	Converse	41270	1
Bexar County	1658879	Elmendorf	7800	1
Bexar County	1658879	Helotes	27840	1
Bexar County	1658879	Lackland A F B	2730	1
Bexar County	1658879	Macdona	584	1
Bexar County	1658879	Randolph A F B	553	1
