Zip Code	No. Homes	Ave Price	Ave Sqft	Ave Beds	Ave Baths	Ave $/sqft	Ave DOM	Ave YrBlt	Ave HOA
75050	4	$134,975	1,494	2.8	1.8	$95.00	2.0	1968	$31.25
75051	2	$182,450	1,797	3.0	2.0	$101.50	2.0	1983	$0.00
76008	68	$502,219	3,360	3.9	3.3	$146.66	36.7	2008	$49.49
76012	6	$252,900	2,275	3.3	2.3	$114.67	1.7	1978	$7.17
76020	1	$249,000	2,335	3.0	2.0	$107.00	1.0	1984	$17.00
76028	152	$283,852	2,498	3.6	2.5	$117.33	39.1	2005	$10.40
76036	54	$288,364	2,624	3.7	2.6	$111.35	34.6	2010	$31.13
76040	5	$275,800	2,237	3.4	2.5	$128.20	2.0	1988	$12.60
76052	22	$255,099	2,232	3.8	2.3	$116.14	11.4	2010	$38.27
76053	7	$244,957	2,050	3.4	2.2	$119.29	2.7	1994	$9.57
76060	2	$277,400	3,042	4.5	2.8	$91.50	3.5	2002	$0.00
76078	0	0	0	0	0	0	0	0	0
76102	6	$499,228	1,683	2.0	1.9	$294.50	6.0	1981	$565.83
76103	6	$163,925	1,824	3.0	1.9	$87.33	1.7	1960	$0.00
76104	9	$164,409	1,364	3.0	1.7	$115.00	2.9	1951	$0.00
76105	4	$195,975	1,952	4.3	2.3	$95.25	3.0	1935	$0.00
76106	3	$136,633	1,537	4.0	2.0	$89.67	4.3	1994	$0.00
76107	33	$625,963	2,478	3.2	2.6	$220.67	7.2	1964	$10.76
76108	72	$263,507	2,050	3.5	2.2	$118.22	21.3	1991	$6.74
76109	16	$577,193	2,470	3.2	2.7	$218.88	5.4	1959	$52.81
76110	8	$354,637	2,085	3.0	2.3	$172.25	3.5	1958	$0.00
76111	5	$241,080	1,870	3.4	2.1	$139.00	3.2	1938	$0.40
76112	11	$194,572	2,116	3.5	2.4	$94.36	4.3	1978	$31.82
76114	12	$214,387	1,682	3.0	1.7	$122.67	7.1	1958	$11.83
76115	1	$124,900	973	3.0	1.0	$128.00	2.0	1953	$0.00
76116	73	$308,637	2,216	3.5	2.4	$137.33	29.4	1967	$7.84
76117	4	$135,624	1,546	2.8	1.3	$88.25	3.0	1959	$0.00
76118	4	$204,175	1,903	3.8	2.1	$107.25	2.5	1977	$10.25
76119	4	$172,725	1,728	3.5	1.8	$110.00	2.0	1971	$0.00
76120	13	$269,084	2,211	3.2	2.3	$110.46	4.2	2002	$25.46
76123	34	$243,344	2,519	3.8	2.5	$100.35	20.3	2007	$26.44
76126	88	$524,509	3,217	3.8	3.3	$155.99	69.9	2008	$152.55
76131	123	$264,238	2,393	3.6	2.5	$112.03	21.4	2012	$22.72
76132	59	$644,508	3,880	3.7	3.5	$153.02	75.2	1997	$80.85
76133	26	$171,292	1,783	3.2	2.1	$98.19	2.8	1968	$0.04
76134	12	$186,522	2,049	3.3	2.2	$95.42	4.0	1997	$6.17
76135	10	$256,270	2,013	3.6	2.6	$131.30	38.1	1972	$5.00
76137	62	$237,640	2,306	3.8	2.3	$105.24	27.3	1996	$7.03
76140	13	$182,384	1,694	3.3	2.2	$105.15	3.8	1992	$10.54
76164	3	$111,633	1,572	3.0	2.0	$72.67	6.0	1921	$0.00
76177	129	$286,651	2,475	3.6	2.6	$120.18	33.4	2013	$32.19
76179	332	$284,129	2,613	3.8	2.6	$108.36	36.7	2009	$16.54
76244	285	$329,375	2,825	4.0	2.8	$117.09	33.7	2008	$29.90
76247	15	$215,520	2,129	3.6	2.3	$103.47	7.7	2006	$25.33
76248	90	$520,344	3,466	4.1	3.4	$153.70	43.9	2006	$28.11
76262	201	$465,605	3,111	3.9	3.3	$150.20	50.2	2012	$27.00
